gender,major,program,GPA
Male,MS,CSE,7.2654905501645946
Male,MS,ECE,7.965374705755046
Male,B.Tech,ECE,5.535499430080363
Male,PhD,ECE,8.167162993466949
Male,B.Tech,CSE,5.265476302342009
Female,MS,ECE,7.895390643180336
Male,B.Tech,CSE,7.755108496962276
Male,MS,CND,7.970343074599631
Female,B.Tech,CHD,8.117413674382313
Male,B.Tech,CSE,5.532897907723456
Male,B.Tech,ECE,5.980752563750087
Male,B.Tech,CND,6.05744292438451
Female,B.Tech,ECE,7.941140329247898
Female,B.Tech,ECE,8.107625832564189
Female,B.Tech,CSE,9.272091346746132
Male,MS,CSE,7.9009163561073965
Female,B.Tech,ECE,8.487202662675353
Male,MS,CSE,6.2256409894928515
Other,MS,CSE,8.453937006487942
Female,MS,CND,8.86545752426216
Female,MS,ECE,6.954323774353881
Male,B.Tech,CSE,7.576776389097506
Male,MS,CSE,8.282523509196826
Female,B.Tech,ECE,7.885550313963459
Male,B.Tech,CSE,7.96214877329677
Male,B.Tech,CSE,8.133508603839344
Female,B.Tech,ECE,5.937000172899799
Male,B.Tech,CSE,6.671476233574664
Female,B.Tech,CND,7.910125396065919
Male,MS,CND,7.903057074852236
Male,B.Tech,CHD,7.233748574572276
Female,MS,CSE,8.443669133420803
Male,B.Tech,CSE,6.299257658426928
Male,B.Tech,CSE,7.736844590326459
Female,B.Tech,CHD,8.169808337353203
Male,B.Tech,ECE,6.611045587040331
Male,PhD,CHD,8.455532406946167
Female,B.Tech,CSE,5.43439948571784
Male,MS,ECE,7.165564844153624
Female,B.Tech,CSE,7.7734809040537165
Female,B.Tech,CSE,6.487811769324399
Female,B.Tech,CSE,8.926031164403181
Male,B.Tech,ECE,8.146410672755348
Male,B.Tech,ECE,7.246886883028186
Female,B.Tech,CND,6.817240327250778
Male,B.Tech,ECE,8.337229193742722
Male,B.Tech,ECE,7.268793674341325
Female,B.Tech,ECE,6.661708264617533
Male,B.Tech,ECE,4.941523339952925
Female,B.Tech,CSE,7.537008153378849
Male,B.Tech,CSE,7.826035814823841
Male,B.Tech,ECE,6.679832298512199
Female,B.Tech,ECE,6.621153800363193
Male,B.Tech,ECE,7.324119046595894
Male,MS,CHD,9.082354657059927
Female,PhD,CND,7.815779100181044
Male,B.Tech,ECE,7.30292057601486
Male,B.Tech,CSE,8.680387982824776
Male,MS,CSE,7.761980197095671
Female,PhD,CSE,7.892316441581777
Male,B.Tech,CSE,7.327395590565597
Male,B.Tech,CND,6.402695305059342
Male,B.Tech,CSE,9.184168794280517
Male,B.Tech,ECE,7.238691002758274
Male,B.Tech,CSE,4.9067181123099015
Male,PhD,CND,9.051836332792274
Female,MS,CSE,7.755870144735908
Male,B.Tech,ECE,7.634873445054955
Male,B.Tech,ECE,6.083737282576805
Male,B.Tech,CSE,7.7170766161564535
Female,MS,CHD,7.298349011028684
Male,B.Tech,ECE,6.875191513331569
Male,B.Tech,ECE,6.471207304089711
Male,B.Tech,ECE,7.273882274545307
Male,PhD,CSE,7.813617527565677
Male,PhD,ECE,7.719505358049676
Female,B.Tech,CSE,7.602203912608284
Male,MS,CSE,6.688025509847172
Female,B.Tech,CHD,5.7538498171571
Male,B.Tech,ECE,5.975574253421428
Male,B.Tech,CSE,6.862310362937833
Male,B.Tech,CSE,7.73652383857156
Male,MS,CHD,8.6395227578653
Male,B.Tech,CSE,5.642107387837704
Male,B.Tech,ECE,6.971139929769715
Male,MS,CND,8.167502733960944
Male,MS,CND,8.340931243529115
Male,B.Tech,CND,7.18741567892637
Male,MS,CHD,6.477084947405968
Male,B.Tech,ECE,7.891405935618598
Female,MS,ECE,7.915011136230802
Male,B.Tech,ECE,7.720340439811613
Female,B.Tech,ECE,6.841185472057202
Male,PhD,CND,8.878267944181694
Female,B.Tech,CHD,7.686853674936742
Male,B.Tech,ECE,5.877264690318547
Male,B.Tech,CSE,6.023235308045969
Female,MS,CSE,9.312031734335736
Male,MS,ECE,7.410216549956049
Female,B.Tech,ECE,6.7635713843101355
Female,B.Tech,CHD,6.416349939685015
Female,B.Tech,ECE,5.892325551492617
Female,MS,CHD,7.7843926346148935
Female,MS,CND,8.427553853111275
Male,B.Tech,CSE,8.370734905028463
Male,PhD,ECE,8.548988108864448
Male,MS,CSE,7.9500625341968245
Female,B.Tech,ECE,6.581428857930842
Male,B.Tech,ECE,7.542188939969534
Female,MS,CSE,8.0304862967273
Female,B.Tech,ECE,6.013360329707117
Female,B.Tech,CSE,6.681088874415097
Male,B.Tech,CSE,8.043034788668665
Male,B.Tech,ECE,8.912159003648588
Male,MS,CSE,7.77257962499577
Female,B.Tech,CSE,8.867773965667155
Female,B.Tech,CSE,8.597802839259346
Female,PhD,CND,9.187898704050179
Male,PhD,ECE,8.346986275905936
Male,B.Tech,CHD,5.035536284622714
Female,B.Tech,CSE,8.47126835322596
Male,B.Tech,ECE,6.972018533498226
Male,B.Tech,CSE,5.64375345919501
Female,B.Tech,CSE,8.392340405093123
Male,MS,ECE,8.018877372379398
Male,B.Tech,CSE,5.993322181554861
Female,PhD,CHD,8.797848518583328
Male,B.Tech,CSE,6.745002785649304
Male,PhD,CND,8.171346530134674
Female,B.Tech,ECE,6.597590573658661
Female,B.Tech,ECE,7.857528792423208
Male,B.Tech,CND,4.375616272936202
Male,B.Tech,CSE,6.002265739814277
Male,B.Tech,CSE,5.9985402415680635
Male,B.Tech,CHD,5.720942055101748
Female,MS,ECE,7.761009120360951
Female,MS,CSE,8.70969341110568
Other,MS,CND,8.269787478783662
Male,MS,CND,7.025512039991261
Male,B.Tech,CSE,5.574265370359024
Male,B.Tech,ECE,7.4657888474503755
Female,MS,CHD,8.058452185805534
Male,PhD,CSE,7.9132469326699235
Male,B.Tech,CHD,6.577419119267157
Female,B.Tech,CHD,4.749498423620875
Male,B.Tech,CND,6.492930715576247
Female,B.Tech,ECE,8.620086989844912
Female,B.Tech,ECE,8.483506252475316
Male,B.Tech,CSE,6.856082959666334
Female,PhD,ECE,7.597325663373528
Female,B.Tech,CND,7.867353058797226
Male,MS,CSE,8.214079200982484
Male,MS,CND,7.739318278851015
Male,B.Tech,CSE,5.9701614491253885
Male,B.Tech,CSE,6.25968743420536
Male,MS,CND,8.69697858669248
Male,B.Tech,CSE,8.748710250941624
Male,B.Tech,ECE,7.339742678469198
Male,B.Tech,CHD,7.328782968290456
Female,B.Tech,ECE,5.943847431374115
Male,PhD,CHD,8.689436314371706
Female,B.Tech,CND,8.101022430673588
Male,B.Tech,ECE,7.470895158892134
Male,B.Tech,ECE,7.806266826906378
Female,B.Tech,CSE,5.31526909124384
Female,MS,CSE,6.569640153956685
Male,B.Tech,ECE,7.013943940757391
Other,B.Tech,CSE,9.08794177424849
Male,B.Tech,CSE,9.368575370774703
Male,PhD,ECE,8.491085342481778
Male,MS,CND,8.839719961876678
Female,B.Tech,CSE,6.7684140837359985
Female,PhD,CSE,8.309611438518985
Female,B.Tech,ECE,6.40875689881402
Male,PhD,CND,9.279109345958648
Male,B.Tech,ECE,5.534245816583271
Male,B.Tech,CSE,6.425272727397897
Male,B.Tech,ECE,6.559833649266759
Female,MS,ECE,8.484962279966307
Female,MS,CSE,7.927374123479334
Male,B.Tech,CND,7.74815470257573
Male,MS,ECE,8.146726753926846
Female,B.Tech,ECE,6.574815595594306
Male,MS,ECE,9.30863366257563
Female,B.Tech,ECE,6.031278355447548
Male,B.Tech,CSE,6.819195051941505
Male,B.Tech,ECE,7.549775480025352
Female,B.Tech,CSE,5.614400807870943
Male,B.Tech,ECE,7.523711864538021
Male,B.Tech,ECE,5.681079279226033
Female,MS,CND,9.058382292800571
Male,MS,CSE,8.293826471386078
Female,MS,CSE,8.00793531364271
Male,B.Tech,CHD,6.672181119258457
Male,B.Tech,ECE,6.208406974541102
Female,B.Tech,CND,6.390219511945391
Male,MS,CHD,8.581881374880282
Male,B.Tech,ECE,6.861760912668723
Female,B.Tech,CSE,7.00190690778619
Male,MS,CSE,8.360075130830118
Male,MS,ECE,8.063683297717127
Male,PhD,CND,7.730836077809045
Other,B.Tech,CHD,6.808408099308618
Male,PhD,CHD,8.34775957165195
Male,B.Tech,ECE,7.0439039605116
Female,B.Tech,ECE,6.748149404083064
Male,MS,ECE,9.171093322383644
Male,MS,CHD,7.995068365526791
Male,B.Tech,CSE,6.464909825116889
Male,B.Tech,ECE,7.510341768647617
Male,MS,CND,9.374342120622126
Male,B.Tech,CND,6.531472499350171
Female,B.Tech,CSE,5.281582370499453
Female,MS,CHD,8.273189241684289
Male,MS,CND,8.299126341065268
Male,PhD,CND,8.784157004488373
Female,B.Tech,CSE,8.604167567684279
Male,B.Tech,ECE,8.896167964538256
Female,B.Tech,CSE,8.219525514645388
Female,B.Tech,ECE,5.750567374245597
Male,B.Tech,CSE,6.56280350875203
Male,MS,ECE,7.7477000678099
Female,MS,CSE,7.551436920140368
Female,B.Tech,CSE,5.695639433962888
Female,MS,CSE,7.824535953673053
Male,B.Tech,CSE,6.336775590771976
Female,B.Tech,ECE,6.291765988639335
Male,B.Tech,ECE,8.12324561937391
Female,B.Tech,CSE,6.185621121185108
Female,B.Tech,ECE,6.023100031956654
Female,B.Tech,CND,7.842997801049992
Male,B.Tech,CND,5.611514156049875
Male,B.Tech,CSE,7.20585732805661
Male,B.Tech,ECE,6.55460104755835
Female,B.Tech,ECE,6.381728088988474
Female,B.Tech,CSE,7.2472789378579545
Male,B.Tech,CHD,4.763942456957228
Male,B.Tech,ECE,7.7932162280979504
Female,B.Tech,CSE,6.92972515584903
Male,B.Tech,CSE,6.196197815314079
Female,B.Tech,ECE,5.551800909143237
Male,B.Tech,CSE,7.934132767295245
Male,B.Tech,CSE,6.968704745454192
Female,MS,ECE,8.25590991883341
Male,B.Tech,ECE,6.646993039855925
Male,B.Tech,CND,7.4984914798600215
Male,B.Tech,CSE,6.958740694543312
Male,B.Tech,ECE,6.725519732172747
Male,B.Tech,CSE,7.453265866275802
Male,MS,CND,8.249005210920497
Female,B.Tech,CSE,7.317580119506003
Female,MS,ECE,8.25000814890795
Male,B.Tech,CHD,5.705932802452686
Male,B.Tech,CND,5.481860631170475
Male,B.Tech,ECE,5.991969210215598
Male,B.Tech,CSE,6.620595689134548
Male,B.Tech,CHD,6.370969676497248
Female,B.Tech,CSE,6.705520722366666
Male,B.Tech,ECE,7.890089463859965
Female,B.Tech,CSE,7.279771062278605
Female,MS,CND,7.393223767422247
Male,B.Tech,CND,8.648546817937246
Female,B.Tech,CHD,9.086505701668763
Female,MS,CSE,8.571750968223029
Male,MS,ECE,6.218872672278803
Female,B.Tech,ECE,6.955194524486318
Male,MS,CND,10.0
Male,B.Tech,CSE,6.8101458439613864
Male,B.Tech,CND,7.8782497669972456
Male,B.Tech,CSE,6.746471158182829
Male,PhD,CSE,8.408913594360627
Female,B.Tech,ECE,6.088644183412585
Female,MS,CSE,9.108158542139801
Male,B.Tech,ECE,4.0
Female,B.Tech,ECE,7.296926846928406
Male,MS,CSE,7.499380250123236
Male,MS,ECE,8.375010722540484
Female,B.Tech,CND,7.338473857441238
Female,MS,CSE,8.620327557164734
Female,B.Tech,ECE,6.748077108163423
Female,MS,CSE,6.935576592698547
Male,B.Tech,CND,5.288216937078082
Female,B.Tech,ECE,7.790340551674116
Male,B.Tech,CND,6.795651508965848
Male,MS,ECE,8.511546727432556
Male,MS,ECE,6.925706696100675
Male,PhD,ECE,8.96509804663638
Female,B.Tech,CSE,7.321212299917276
Male,B.Tech,CSE,7.444217173035499
Male,B.Tech,CSE,6.531691456684513
Female,B.Tech,CSE,5.821757677233216
Male,MS,ECE,7.139633962505876
Male,B.Tech,ECE,6.084641876674714
Male,B.Tech,ECE,6.901989975695029
Male,B.Tech,CHD,6.997811726169424
Male,B.Tech,CHD,5.577644981047475
Female,B.Tech,CND,6.886471208121088
Female,B.Tech,CSE,6.053151544330455
Male,MS,CHD,8.31630871080983
Male,PhD,CHD,8.418859204869294
Male,B.Tech,ECE,7.349614623409456
Male,B.Tech,ECE,6.724994979669686
Male,B.Tech,CSE,6.159709368227236
Male,B.Tech,ECE,8.168854073852096
Female,B.Tech,ECE,6.815848679081951
Female,MS,CND,7.4596690636747125
Male,B.Tech,ECE,6.544986588936143
Male,B.Tech,ECE,7.9353509220255365
Male,B.Tech,ECE,6.899290737857603
Male,B.Tech,ECE,8.521252950133011
Male,MS,CHD,7.4565223204974505
Male,B.Tech,CSE,7.191495435061502
Female,MS,CND,8.16076516932152
Male,B.Tech,CSE,8.662329164832194
Female,MS,ECE,8.547712431225603
Male,MS,ECE,6.363479003567665
Male,B.Tech,CND,6.940934974091105
Male,B.Tech,ECE,5.734868790638286
Male,B.Tech,ECE,6.248768640394859
Male,B.Tech,ECE,6.407405291491401
Male,B.Tech,CSE,6.792874380277134
Male,B.Tech,CSE,8.03064876304191
Female,B.Tech,CHD,5.889320596622721
Male,B.Tech,ECE,7.254291252459681
Female,MS,ECE,8.769433543235257
Male,B.Tech,ECE,6.386498121618104
Female,MS,CSE,8.55654052552921
Male,B.Tech,CSE,9.432045016735744
Female,B.Tech,ECE,5.592495921613428
Female,B.Tech,CSE,8.536085308551463
Male,PhD,CHD,8.297898181431707
Female,PhD,CHD,8.852010484188549
Female,MS,CSE,8.10088946385161
Male,B.Tech,ECE,6.745447582140195
Male,B.Tech,CND,6.035379098798625
Female,B.Tech,ECE,5.838646194890355
Male,B.Tech,ECE,6.127970537588427
Female,PhD,ECE,8.538789606063924
Female,B.Tech,ECE,6.590925590877104
Male,PhD,CSE,9.006968803610706
Male,PhD,ECE,9.104483294360097
Female,B.Tech,CND,6.014079667809071
Male,B.Tech,ECE,6.0789660445042895
Male,B.Tech,ECE,6.5008096932138075
Male,B.Tech,ECE,5.536096351099243
Female,B.Tech,ECE,8.437351066879183
Male,B.Tech,CHD,8.139555917982413
Male,MS,CSE,8.121226459288238
Male,B.Tech,CSE,6.433655060786537
Male,MS,ECE,7.198732771029154
Male,B.Tech,CSE,7.0737389207813655
Male,B.Tech,CSE,5.970739365248752
Female,MS,ECE,6.950097813640812
Female,PhD,CND,8.358644578704572
Female,B.Tech,CSE,7.582395938755164
Female,MS,CND,6.314543731090728
Male,B.Tech,ECE,7.150398974241771
Male,B.Tech,CSE,7.672124212534737
Male,MS,ECE,8.119552525366368
Other,PhD,CHD,9.140672828075678
Female,MS,ECE,8.161661442007642
Male,B.Tech,ECE,6.624535840529353
Male,MS,CND,9.154819948552436
Female,B.Tech,CSE,6.202939561506584
Female,B.Tech,ECE,7.779824957484897
Female,B.Tech,CHD,6.58587196197104
Female,PhD,ECE,8.569448666432518
Male,MS,CHD,8.599107941736555
Male,B.Tech,CSE,7.382731713229541
Female,B.Tech,ECE,5.919020522818605
Female,B.Tech,CND,7.404003805494306
Male,B.Tech,CSE,6.693111539011926
Male,B.Tech,ECE,7.746531955412352
Female,B.Tech,CSE,6.91943541397324
Female,B.Tech,CSE,5.524340852340372
Male,MS,CHD,7.0058921453392955
Male,B.Tech,ECE,5.738539822091122
Female,B.Tech,CSE,6.570924643210389
Male,B.Tech,ECE,6.889797026874561
Other,B.Tech,CSE,7.465859729742078
Male,B.Tech,ECE,6.637942426395298
Female,B.Tech,CHD,7.628647759005
Male,MS,CND,8.139193497806135
Male,B.Tech,ECE,5.883552332397904
Female,B.Tech,ECE,6.489321279613824
Female,B.Tech,CSE,6.745472341775394
Female,B.Tech,ECE,8.427891720286013
Male,B.Tech,ECE,7.261467112751197
Male,B.Tech,CSE,6.659422289777861
Male,B.Tech,ECE,5.601610271575531
Female,MS,ECE,7.696010666735755
Male,B.Tech,ECE,5.7285161889548615
Male,B.Tech,CHD,6.899833890060306
Male,B.Tech,CSE,7.05703389957838
Other,B.Tech,CSE,7.769197541256972
Male,B.Tech,ECE,7.488938924199314
Male,B.Tech,ECE,6.445652929940555
Male,PhD,CSE,7.871311833265294
Female,B.Tech,CSE,8.694047391287336
Male,B.Tech,ECE,7.924476098951419
Female,PhD,CHD,7.662385337972454
Male,B.Tech,CSE,6.646091483884108
Male,B.Tech,CSE,7.56388385474734
Male,B.Tech,CSE,5.801030606027336
Male,B.Tech,CSE,7.726947225418224
Male,B.Tech,ECE,9.212959538143448
Male,PhD,CSE,7.55297459794169
Male,B.Tech,CSE,6.870992375417925
Male,MS,CSE,7.351412739842293
Female,B.Tech,ECE,6.650862566038638
Male,B.Tech,ECE,5.690906766407752
Male,B.Tech,ECE,6.755606271481208
Male,B.Tech,CSE,6.438584508964367
Male,B.Tech,ECE,7.175182586792391
Male,B.Tech,ECE,7.666416539755872
Female,MS,CHD,7.954828440272229
Male,MS,CND,8.428123698113168
Male,B.Tech,CHD,5.714164767547945
Female,B.Tech,CND,5.921674623002094
Male,B.Tech,CND,6.536658056505573
Male,B.Tech,ECE,8.20770671649229
Male,B.Tech,CSE,7.18337515187311
Female,B.Tech,CHD,7.335585469575142
Female,B.Tech,ECE,6.5731291018396005
Male,B.Tech,ECE,8.424917415038815
Male,B.Tech,CSE,7.786233568220881
Male,B.Tech,ECE,6.22602284023645
Female,PhD,CHD,9.317873391083124
Male,B.Tech,ECE,7.148282291822018
Male,B.Tech,ECE,6.126723861849891
Female,MS,ECE,8.641312021476512
Male,B.Tech,CHD,9.099226877294296
Male,B.Tech,CSE,6.2434436309418375
Male,B.Tech,CSE,6.840304853801094
Male,MS,ECE,7.427191810268226
Male,PhD,CHD,7.8933446882990985
Male,B.Tech,CSE,6.494942700489145
Male,B.Tech,CSE,6.80047785982025
Male,B.Tech,ECE,6.491445211148402
Male,MS,ECE,8.730936703428291
Male,B.Tech,CHD,4.8606896916309505
Male,B.Tech,ECE,6.037986358920332
Male,B.Tech,CSE,5.673897444161314
Male,B.Tech,CHD,6.586493652091583
Male,B.Tech,ECE,8.432880623047694
Male,B.Tech,CSE,6.708425984908629
Female,B.Tech,ECE,6.812138718526192
Male,B.Tech,CSE,8.956762376319992
Male,B.Tech,ECE,5.652332241049289
Male,B.Tech,ECE,5.443958569283928
Male,MS,CSE,8.850064468226769
Male,PhD,CSE,7.638222881852752
Other,B.Tech,ECE,7.562872834293856
Female,B.Tech,CND,7.418328679073364
Male,PhD,CSE,7.447494485372794
Male,B.Tech,CSE,7.31887999242868
Male,B.Tech,ECE,7.844334733672291
Female,B.Tech,CSE,7.580555276338231
Male,B.Tech,ECE,6.430227811394432
Male,B.Tech,CSE,7.554981918325274
Female,B.Tech,CSE,7.100158395242594
Female,MS,ECE,7.3124092358212
Female,B.Tech,ECE,6.882348375706696
Male,MS,CHD,9.20833223277006
Male,B.Tech,CSE,6.248277072125405
Male,B.Tech,CSE,6.703406169422043
Other,MS,CSE,8.44982683041634
Female,B.Tech,CHD,8.486753631524328
Female,B.Tech,CHD,6.567806900420305
Male,B.Tech,CSE,7.636167765338815
Male,B.Tech,CSE,6.736602033928119
Female,B.Tech,CND,5.886421878818929
Male,B.Tech,CSE,7.86020297666997
Female,B.Tech,CSE,5.787963987213722
Female,B.Tech,CSE,6.6439057568333535
Male,B.Tech,CSE,5.0064121728712045
Male,MS,CHD,8.124259953270668
Male,B.Tech,CSE,7.333636091485143
Male,B.Tech,CHD,4.782189543657275
Female,B.Tech,CSE,6.3979675873860264
Male,B.Tech,ECE,7.122430879376201
Male,B.Tech,CSE,8.464097742567311
Male,B.Tech,ECE,8.684471466751559
Male,B.Tech,CND,7.320863577921177
Female,B.Tech,CSE,6.501397935601714
Male,MS,CSE,7.454794351645948
Male,PhD,CSE,8.74361878321359
Male,B.Tech,ECE,7.456336302146359
Male,B.Tech,CSE,6.3339647916122725
Male,B.Tech,ECE,7.709907303075318
Male,MS,CSE,8.652051284627744
Male,B.Tech,CSE,7.589317932236647
Male,B.Tech,CSE,6.182085848662249
Male,MS,CHD,7.793836261800152
Female,MS,ECE,7.718855558805917
Male,MS,CND,8.318734747185403
Male,MS,ECE,7.363882128244733
Male,B.Tech,CSE,6.990247890589795
Male,B.Tech,CSE,6.767699161701122
Female,B.Tech,ECE,7.805347660001395
Male,B.Tech,ECE,7.230015840866337
Male,B.Tech,ECE,7.324276578829447
Male,B.Tech,ECE,7.190022738293323
Male,B.Tech,CSE,7.515664686929239
Female,B.Tech,CSE,8.554529707492298
Female,PhD,CSE,7.887562782126114
